time,ego_speed,lead_speed,distance
15.9,30.0,,
16.0,30.0,,
16.1,30.0,,
16.2,30.0,,
16.3,30.0,,
16.4,30.0,,
16.5,30.0,,
16.6,30.0,,
16.7,30.0,,
16.8,30.0,,
16.9,30.0,,
17.0,30.0,,
17.1,30.0,,
17.2,30.0,,
17.3,30.0,,
17.4,30.0,,
17.5,30.0,,
17.6,30.0,,
17.7,30.0,,
17.8,30.0,,
17.9,30.0,,
18.0,30.0,,
18.1,30.0,,
18.2,30.0,,
18.3,30.0,,
18.4,30.0,,
18.5,30.0,,
18.6,30.0,,
18.7,30.0,,
18.8,30.0,,
18.9,30.0,,
19.0,30.0,,
19.1,30.0,,
19.2,30.0,,
19.3,30.0,,
19.4,30.0,,
19.5,30.0,,
19.6,30.0,,
19.7,30.0,,
19.8,30.0,,
19.9,30.0,,
20.0,30.0,,
20.1,30.0,,
20.2,30.0,,
20.3,30.0,,
20.4,30.0,,
20.5,30.0,,
20.6,30.0,,
20.7,30.0,,
20.8,30.0,,
20.9,30.0,,
21.0,30.0,,
21.1,30.0,,
21.2,30.0,,
21.3,30.0,,
21.4,30.0,,
21.5,30.0,,
21.6,30.0,,
21.7,30.0,,
21.8,30.0,,
21.9,30.0,,
22.0,30.0,,
22.1,30.0,,
22.2,30.0,,
22.3,30.0,,
22.4,30.0,,
22.5,30.0,,
22.6,30.0,,
22.7,30.0,,
22.8,30.0,,
22.9,30.0,,
23.0,30.0,,
23.1,30.0,,
23.2,30.0,,
23.3,30.0,,
23.4,30.0,,
23.5,30.0,,
23.6,30.0,,
23.7,30.0,,
23.8,30.0,,
23.9,30.0,,
24.0,30.0,,
24.1,30.0,,
24.2,30.0,,
24.3,30.0,,
24.4,30.0,,
24.5,30.0,,
24.6,30.0,,
24.7,30.0,,
24.8,30.0,,
24.9,30.0,,
25.0,30.0,,
25.1,30.0,,
25.2,30.0,,
25.3,30.0,,
25.4,30.0,,
25.5,30.0,,
25.6,30.0,,
25.7,30.0,,
25.8,30.0,,
25.9,30.0,,
26.0,30.0,,
26.1,30.0,,
26.2,30.0,,
26.3,30.0,,
26.4,30.0,,
26.5,30.0,,
26.6,30.0,,
26.7,30.0,,
26.8,30.0,,
26.9,30.0,,
27.0,30.0,,
27.1,30.0,,
27.2,30.0,,
27.3,30.0,,
27.4,30.0,,
27.5,30.0,,
27.6,30.0,,
27.7,30.0,,
27.8,30.0,,
27.9,30.0,,
28.0,30.0,,
28.1,30.0,,
28.2,30.0,,
28.3,30.0,,
28.4,30.0,,
28.5,30.0,,
28.6,30.0,,
28.7,30.0,,
28.8,30.0,,
28.9,30.0,,
29.0,30.0,,
29.1,30.0,,
29.2,30.0,,
29.3,30.0,,
29.4,30.0,,
29.5,30.0,,
29.6,30.0,,
29.7,30.0,,
29.8,30.0,,
29.9,30.0,,
30.0,30.0,25.37,52.1
30.1,29.9,24.9,50.87
30.2,29.8,25.49,49.1
30.3,29.7,26.14,47.59
30.4,29.6,24.82,49.07
30.5,29.5,24.82,48.16
30.6,29.4,26.18,48.42
30.7,29.3,25.58,47.6
30.8,29.2,24.65,47.74
30.9,29.1,25.41,45.12
31.0,29.0,24.65,47.25
31.1,28.9,24.65,45.32
31.2,28.8,25.18,47.44
31.3,28.7,23.57,43.36
31.4,28.6,23.71,46.2
31.5,28.5,24.58,43.81
31.6,28.4,24.24,42.36
31.7,28.3,25.24,42.24
31.8,28.2,24.32,42.12
31.9,28.1,23.94,42.75
32.0,28.0,26.1,42.56
32.1,27.9,24.83,40.88
32.2,27.8,25.05,41.28
32.3,27.7,23.93,43.67
32.4,27.6,24.59,42.87
32.5,27.5,25.08,41.03
32.6,27.4,24.14,40.3
32.7,27.3,25.28,40.15
32.8,27.2,24.55,40.51
32.9,27.1,24.78,38.35
33.0,27.0,24.55,39.05
33.1,26.9,26.39,37.19
33.2,26.8,24.99,39.43
33.3,26.7,24.21,39.53
33.4,26.6,25.62,38.05
33.5,26.5,24.08,40.27
33.6,26.4,25.16,36.89
33.7,26.3,23.53,36.48
33.8,26.2,24.0,38.29
33.9,26.1,25.15,39.1
34.0,26.0,25.55,39.71
34.1,25.9,25.13,37.18
34.2,25.8,24.91,38.83
34.3,25.7,24.77,37.49
34.4,25.6,23.89,37.27
34.5,25.5,24.46,38.39
34.6,25.4,24.65,38.08
34.7,25.3,25.79,35.55
34.8,25.2,25.26,38.93
34.9,25.1,23.68,38.8
35.0,25.0,25.24,36.55
35.1,25.0,24.71,37.69
35.2,25.0,24.49,37.8
35.3,25.0,25.46,37.54
35.4,25.0,25.77,36.64
35.5,25.0,25.7,36.5
35.6,25.0,24.37,37.22
35.7,25.0,24.77,38.56
35.8,25.0,25.25,37.86
35.9,25.0,25.73,36.84
36.0,25.0,24.64,38.11
36.1,25.0,24.86,34.07
36.2,25.0,24.17,38.53
36.3,25.0,24.1,35.31
36.4,25.0,25.61,36.84
36.5,25.0,26.02,36.0
36.6,25.0,24.95,35.8
36.7,25.0,25.75,38.55
36.8,25.0,25.27,36.73
36.9,25.0,24.52,37.64
37.0,25.0,25.27,37.2
37.1,25.0,26.15,37.78
37.2,25.0,24.97,37.34
37.3,25.0,26.17,35.82
37.4,25.0,23.04,38.36
37.5,25.0,25.62,36.7
37.6,25.0,25.07,35.51
37.7,25.0,24.78,36.77
37.8,25.0,25.07,38.93
37.9,25.0,23.51,38.2
38.0,25.0,24.84,36.86
38.1,25.0,25.27,36.86
38.2,25.0,26.11,36.89
38.3,25.0,24.61,39.57
38.4,25.0,24.39,37.68
38.5,25.0,24.62,37.73
38.6,25.0,25.69,38.4
38.7,25.0,25.25,37.52
38.8,25.0,24.6,36.96
38.9,25.0,25.38,37.03
39.0,25.0,25.07,37.17
39.1,25.0,25.73,37.21
39.2,25.0,24.47,38.06
39.3,25.0,24.75,37.31
39.4,25.0,24.71,38.07
39.5,25.0,23.9,37.16
39.6,25.0,25.22,37.34
39.7,25.0,25.2,35.02
39.8,25.0,25.0,38.27
39.9,25.0,24.82,37.64
40.0,25.0,23.94,38.37
40.1,25.0,24.68,34.01
40.2,25.0,24.74,39.58
40.3,25.0,24.4,37.09
40.4,25.0,24.88,38.49
40.5,25.0,25.3,36.09
40.6,25.0,26.41,37.93
40.7,25.0,25.13,36.07
40.8,25.0,25.19,36.55
40.9,25.0,24.94,39.39
41.0,25.0,23.56,37.04
41.1,25.0,24.98,37.49
41.2,25.0,25.05,38.22
41.3,25.0,26.85,37.8
41.4,25.0,24.86,37.42
41.5,25.0,25.23,37.66
41.6,25.0,24.97,39.94
41.7,25.0,24.12,37.19
41.8,25.0,25.86,37.47
41.9,25.0,25.56,38.42
42.0,25.0,25.59,38.49
42.1,25.0,24.32,38.58
42.2,25.0,26.05,37.96
42.3,25.0,23.95,35.97
42.4,25.0,25.44,39.08
42.5,25.0,26.64,35.97
42.6,25.0,24.26,37.59
42.7,25.0,24.58,36.41
42.8,25.0,25.07,37.18
42.9,25.0,24.62,37.62
43.0,25.0,23.84,37.61
43.1,25.0,25.05,37.72
43.2,25.0,24.2,39.05
43.3,25.0,25.36,37.76
43.4,25.0,24.31,36.98
43.5,25.0,26.16,38.33
43.6,25.0,24.41,38.58
43.7,25.0,24.76,35.88
43.8,25.0,25.61,37.92
43.9,25.0,24.08,38.03
44.0,25.0,25.17,36.92
44.1,25.0,25.98,38.79
44.2,25.0,23.79,37.08
44.3,25.0,25.14,37.39
44.4,25.0,25.19,37.06
44.5,25.0,25.59,37.27
44.6,25.0,24.07,36.02
44.7,25.0,24.01,35.64
44.8,25.0,25.39,39.03
44.9,25.0,25.22,36.3
45.0,25.0,25.19,36.14
45.1,25.0,25.26,34.84
45.2,25.0,24.49,36.54
45.3,25.0,25.17,35.77
45.4,25.0,25.22,39.08
45.5,25.0,24.46,38.38
45.6,25.0,26.4,36.48
45.7,25.0,25.36,39.77
45.8,25.0,24.11,38.35
45.9,25.0,25.49,36.89
46.0,25.0,24.27,34.46
46.1,25.0,25.59,39.81
46.2,25.0,25.87,35.7
46.3,25.0,24.38,35.41
46.4,25.0,25.72,38.39
46.5,25.0,25.31,39.98
46.6,25.0,25.62,38.8
46.7,25.0,26.42,37.88
46.8,25.0,24.82,37.91
46.9,25.0,24.43,38.2
47.0,25.0,24.33,38.1
47.1,25.0,24.39,37.56
47.2,25.0,24.94,37.37
47.3,25.0,25.26,37.18
47.4,25.0,25.21,36.41
47.5,25.0,25.62,36.94
47.6,25.0,25.01,35.36
47.7,25.0,26.09,37.14
47.8,25.0,24.8,36.15
47.9,25.0,27.04,36.02
48.0,25.0,25.47,37.45
48.1,25.0,24.36,38.81
48.2,25.0,24.2,38.28
48.3,25.0,25.36,35.49
48.4,25.0,24.83,36.14
48.5,25.0,25.54,38.3
48.6,25.0,25.35,36.15
48.7,25.0,24.95,37.0
48.8,25.0,24.36,37.86
48.9,25.0,23.86,36.17
49.0,25.0,24.67,37.37
49.1,25.0,25.64,35.76
49.2,25.0,25.16,36.58
49.3,25.0,24.07,37.61
49.4,25.0,25.13,35.47
49.5,25.0,25.29,37.74
49.6,25.0,24.34,37.23
49.7,25.0,25.12,37.87
49.8,25.0,25.04,37.5
49.9,25.0,24.14,38.77
50.0,25.0,25.27,37.39
50.1,25.0,25.42,36.77
50.2,25.0,25.81,37.39
50.3,25.0,25.79,37.86
50.4,25.0,23.97,37.3
50.5,25.0,24.3,37.3
50.6,25.0,25.39,36.47
50.7,25.0,25.39,36.51
50.8,25.0,25.39,35.68
50.9,25.0,27.89,39.21
51.0,25.0,25.43,35.86
51.1,25.0,25.85,36.48
51.2,25.0,25.72,36.45
51.3,25.0,25.49,38.25
51.4,25.0,24.76,36.92
51.5,25.0,25.57,38.64
51.6,25.0,24.42,36.5
51.7,25.0,24.82,37.56
51.8,25.0,24.64,36.32
51.9,25.0,25.06,39.65
52.0,25.0,26.74,35.92
52.1,25.0,23.6,37.6
52.2,25.0,25.51,37.96
52.3,25.0,23.79,37.71
52.4,25.0,24.65,37.04
52.5,25.0,25.82,37.1
52.6,25.0,25.05,37.3
52.7,25.0,24.19,37.09
52.8,25.0,24.46,38.33
52.9,25.0,25.51,39.72
53.0,25.0,24.45,36.63
53.1,25.0,25.16,35.72
53.2,25.0,25.03,37.15
53.3,25.0,24.51,40.13
53.4,25.0,26.61,36.35
53.5,25.0,25.48,39.08
53.6,25.0,23.48,39.12
53.7,25.0,25.14,36.63
53.8,25.0,24.5,37.89
53.9,25.0,25.64,39.07
54.0,25.0,24.41,36.83
54.1,25.0,24.91,37.02
54.2,25.0,25.38,36.6
54.3,25.0,25.65,36.12
54.4,25.0,24.1,36.52
54.5,25.0,24.75,35.88
54.6,25.0,24.64,37.29
54.7,25.0,24.51,36.39
54.8,25.0,26.32,37.51
54.9,25.0,25.3,35.51
55.0,25.0,24.05,37.62
55.1,25.0,25.69,38.18
55.2,25.0,26.59,35.02
55.3,25.0,25.77,37.67
55.4,25.0,23.86,38.62
55.5,25.0,24.64,35.9
55.6,25.0,25.95,39.12
55.7,25.0,24.47,37.72
55.8,25.0,25.33,36.46
55.9,25.0,25.58,37.19
56.0,25.0,24.3,37.87
56.1,25.0,24.96,37.33
56.2,25.0,22.57,37.85
56.3,25.0,24.23,36.22
56.4,25.0,24.81,37.44
56.5,25.0,24.06,35.67
56.6,25.0,26.22,37.13
56.7,25.0,23.93,36.24
56.8,25.0,24.67,36.43
56.9,25.0,25.1,38.63
57.0,25.0,26.08,38.47
57.1,25.0,23.92,37.93
57.2,25.0,25.87,36.03
57.3,25.0,25.01,36.9
57.4,25.0,24.26,38.61
57.5,25.0,25.35,37.41
57.6,25.0,25.15,39.84
57.7,25.0,24.55,37.69
57.8,25.0,25.05,37.46
57.9,25.0,24.71,36.9
58.0,25.0,25.09,37.4
58.1,25.0,25.5,37.08
58.2,25.0,26.19,38.04
58.3,25.0,24.07,38.32
58.4,25.0,26.6,36.37
58.5,25.0,23.54,35.76
58.6,25.0,24.89,35.2
58.7,25.0,25.44,37.82
58.8,25.0,25.21,36.02
58.9,25.0,24.53,34.84
59.0,25.0,24.84,37.68
59.1,25.0,24.63,40.04
59.2,25.0,24.56,37.24
59.3,25.0,25.64,38.19
59.4,25.0,25.27,37.34
59.5,25.0,24.48,37.14
59.6,25.0,25.67,38.28
59.7,25.0,25.23,36.93
59.8,25.0,25.61,37.55
59.9,25.0,25.47,37.61
60.0,25.0,24.38,36.5
60.1,25.0,24.61,38.36
60.2,25.15,25.63,37.05
60.3,25.15,25.56,36.41
60.4,25.15,25.11,37.84
60.5,25.15,25.26,36.24
60.6,25.3,26.17,37.27
60.7,25.3,24.78,37.22
60.8,25.3,25.68,38.43
60.9,25.3,25.15,37.75
61.0,25.45,25.16,37.19
61.1,25.45,26.21,38.12
61.2,25.45,26.03,38.75
61.3,25.45,26.05,37.82
61.4,25.45,26.47,37.2
61.5,25.6,25.52,35.74
61.6,25.6,26.05,36.0
61.7,25.6,25.33,36.84
61.8,25.6,25.85,36.5
61.9,25.75,25.53,36.97
62.0,25.75,25.74,37.22
62.1,25.75,26.16,37.75
62.2,25.75,25.1,37.07
62.3,25.75,27.39,37.69
62.4,25.9,25.02,37.22
62.5,25.9,24.89,34.94
62.6,25.9,26.77,36.08
62.7,25.9,26.52,36.97
62.8,26.05,26.42,35.78
62.9,26.05,26.46,37.79
63.0,26.05,25.99,38.81
63.1,26.05,25.33,38.47
63.2,26.05,26.13,36.86
63.3,26.2,25.57,38.77
63.4,26.2,26.89,37.27
63.5,26.2,26.05,36.71
63.6,26.2,25.55,36.41
63.7,26.35,25.98,36.75
63.8,26.35,26.6,36.64
63.9,26.35,25.86,37.26
64.0,26.35,25.68,37.24
64.1,26.35,26.56,37.06
64.2,26.5,26.59,37.55
64.3,26.5,26.03,38.37
64.4,26.5,26.1,38.1
64.5,26.5,26.68,35.39
64.6,26.65,25.38,34.2
64.7,26.65,25.45,38.07
64.8,26.65,26.03,35.5
64.9,26.65,26.46,36.77
65.0,26.65,26.92,35.71
65.1,26.8,27.88,35.02
65.2,26.8,27.42,37.61
65.3,26.8,26.64,37.84
65.4,26.8,26.78,36.36
65.5,26.95,26.02,34.12
65.6,26.95,26.86,36.37
65.7,26.95,26.67,37.41
65.8,26.95,27.19,35.33
65.9,26.95,26.3,37.17
66.0,27.1,27.42,36.95
66.1,27.1,28.27,37.6
66.2,27.1,26.98,37.08
66.3,27.1,27.43,35.87
66.4,27.25,27.69,38.28
66.5,27.25,26.84,36.76
66.6,27.25,27.38,36.9
66.7,27.25,27.24,35.9
66.8,27.25,27.35,36.43
66.9,27.4,26.67,35.95
67.0,27.4,27.35,36.73
67.1,27.4,27.78,38.81
67.2,27.4,28.59,35.39
67.3,27.55,28.22,35.12
67.4,27.55,29.24,38.52
67.5,27.55,26.87,36.66
67.6,27.55,28.25,36.14
67.7,27.55,27.72,38.03
67.8,27.7,29.41,36.21
67.9,27.7,26.96,38.89
68.0,27.7,26.97,37.61
68.1,27.7,27.2,36.32
68.2,27.85,25.96,39.25
68.3,27.85,27.33,36.18
68.4,27.85,27.17,37.66
68.5,27.85,27.96,37.17
68.6,27.85,28.16,38.27
68.7,28.0,29.47,38.57
68.8,28.0,28.73,36.87
68.9,28.0,27.49,35.99
69.0,28.0,27.25,37.33
69.1,28.15,28.44,36.07
69.2,28.15,26.96,39.02
69.3,28.15,29.64,36.95
69.4,28.15,29.13,36.39
69.5,28.15,27.77,36.99
69.6,28.3,26.75,35.3
69.7,28.3,29.38,35.71
69.8,28.3,28.17,38.09
69.9,28.3,29.35,36.05
70.0,28.45,26.97,35.62
70.1,28.45,27.86,37.35
70.2,28.45,28.4,38.06
70.3,28.45,28.47,37.54
70.4,28.45,28.09,37.84
70.5,28.6,29.03,35.92
70.6,28.6,27.62,35.17
70.7,28.6,28.45,38.38
70.8,28.6,28.7,36.37
70.9,28.75,29.07,36.45
71.0,28.75,29.28,38.17
71.1,28.75,27.73,37.32
71.2,28.75,27.41,37.2
71.3,28.75,29.87,39.08
71.4,28.9,29.09,35.99
71.5,28.9,28.18,37.71
71.6,28.9,30.21,36.74
71.7,28.9,29.0,36.98
71.8,29.05,29.95,38.36
71.9,29.05,29.03,37.23
72.0,29.05,30.79,37.25
72.1,29.05,30.56,37.84
72.2,29.05,28.85,36.25
72.3,29.2,29.95,35.74
72.4,29.2,29.69,35.5
72.5,29.2,30.37,34.48
72.6,29.2,28.35,38.9
72.7,29.35,29.83,35.43
72.8,29.35,30.2,36.38
72.9,29.35,27.75,36.32
73.0,29.35,28.29,36.95
73.1,29.35,27.57,37.51
73.2,29.5,29.16,37.56
73.3,29.5,30.06,35.96
73.4,29.5,30.8,36.41
73.5,29.5,29.57,36.9
73.6,29.65,30.97,36.32
73.7,29.65,28.35,38.34
73.8,29.65,28.09,37.11
73.9,29.65,29.58,37.38
74.0,29.65,30.01,37.29
74.1,29.8,29.67,37.86
74.2,29.8,27.89,36.76
74.3,29.8,29.69,35.13
74.4,29.8,28.63,36.99
74.5,29.95,30.43,35.84
74.6,29.95,30.2,35.95
74.7,29.95,29.06,37.17
74.8,29.95,29.47,37.88
74.9,29.95,29.02,36.54
75.0,30.0,29.94,36.86
75.1,30.0,30.89,38.38
75.2,30.0,29.18,36.78
75.3,30.0,30.56,39.38
75.4,30.0,29.65,37.16
75.5,30.0,29.45,34.62
75.6,30.0,30.1,37.4
75.7,30.0,29.29,37.01
75.8,30.0,29.77,38.03
75.9,30.0,29.21,37.38
76.0,30.0,32.12,36.52
76.1,30.0,30.4,35.35
76.2,30.0,29.76,36.51
76.3,30.0,30.63,35.84
76.4,30.0,30.37,36.18
76.5,30.0,30.3,37.52
76.6,30.0,31.09,38.77
76.7,30.0,31.26,37.41
76.8,30.0,30.11,35.7
76.9,30.0,30.1,37.58
77.0,30.0,30.42,38.48
77.1,30.0,28.58,36.54
77.2,30.0,29.33,37.14
77.3,30.0,32.03,37.38
77.4,30.0,32.32,36.56
77.5,30.0,30.6,38.25
77.6,30.0,31.4,37.46
77.7,30.0,31.19,38.16
77.8,30.0,33.79,36.77
77.9,30.0,32.01,37.37
78.0,30.0,30.88,38.79
78.1,30.0,30.14,37.64
78.2,30.0,29.57,40.15
78.3,30.0,31.29,37.82
78.4,30.0,30.42,38.65
78.5,30.0,29.84,39.58
78.6,30.0,30.59,36.98
78.7,30.0,30.22,36.69
78.8,30.0,32.85,37.08
78.9,30.0,32.13,40.47
79.0,30.0,31.32,38.47
79.1,30.0,32.76,42.26
79.2,30.0,31.47,38.72
79.3,30.0,30.62,39.75
79.4,30.0,32.91,41.51
79.5,30.0,32.01,42.22
79.6,30.0,30.55,42.44
79.7,30.0,31.39,41.57
79.8,30.0,30.77,41.52
79.9,30.0,30.32,41.16
80.0,30.0,32.55,41.55
80.1,30.0,33.52,40.1
80.2,30.0,30.4,39.94
80.3,30.0,32.31,41.11
80.4,30.0,31.18,41.08
80.5,30.0,31.36,40.91
80.6,30.0,31.3,42.52
80.7,30.0,31.07,43.04
80.8,30.0,31.98,42.14
80.9,30.0,31.17,44.09
81.0,30.0,32.26,40.97
81.1,30.0,31.98,42.37
81.2,30.0,31.84,41.9
81.3,30.0,31.23,40.62
81.4,30.0,31.57,43.13
81.5,30.0,32.9,43.29
81.6,30.0,32.68,45.65
81.7,30.0,31.28,44.72
81.8,30.0,32.37,42.75
81.9,30.0,33.03,46.81
82.0,30.0,30.71,46.2
82.1,30.0,32.9,45.58
82.2,30.0,31.76,44.73
82.3,30.0,32.99,43.98
82.4,30.0,31.73,45.01
82.5,30.0,30.74,47.26
82.6,30.0,30.94,48.62
82.7,30.0,32.62,48.41
82.8,30.0,32.85,45.85
82.9,30.0,31.74,45.22
83.0,30.0,33.3,47.25
83.1,30.0,31.07,44.81
83.2,30.0,32.67,48.05
83.3,30.0,31.58,47.65
83.4,30.0,32.16,47.47
83.5,30.0,32.88,46.1
83.6,30.0,32.02,49.45
83.7,30.0,32.52,48.21
83.8,30.0,33.92,47.55
83.9,30.0,32.4,45.3
84.0,30.0,33.83,49.83
84.1,30.0,31.91,52.84
84.2,30.0,33.6,52.99
84.3,30.0,34.53,50.08
84.4,30.0,30.67,50.17
84.5,30.0,32.38,52.12
84.6,30.0,33.77,50.17
84.7,30.0,33.03,52.51
84.8,30.0,33.64,53.56
84.9,30.0,32.7,54.63
85.0,30.0,33.42,52.86
85.1,30.0,33.21,53.02
85.2,30.0,34.57,52.28
85.3,30.0,33.69,52.69
85.4,30.0,33.81,54.0
85.5,30.0,33.09,55.32
85.6,30.0,33.04,56.58
85.7,30.0,33.13,54.08
85.8,30.0,34.0,58.28
85.9,30.0,33.21,55.68
86.0,30.0,33.96,56.46
86.1,30.0,35.8,55.6
86.2,30.0,34.61,53.08
86.3,30.0,33.44,59.14
86.4,30.0,35.02,59.27
86.5,30.0,33.42,57.88
86.6,30.0,31.8,58.87
86.7,30.0,32.87,60.06
86.8,30.0,32.03,56.74
86.9,30.0,33.61,58.97
87.0,30.0,34.02,61.76
87.1,30.0,35.74,58.44
87.2,30.0,34.4,61.66
87.3,30.0,33.88,59.03
87.4,30.0,34.98,62.81
87.5,30.0,31.9,62.28
87.6,30.0,34.44,59.73
87.7,30.0,35.02,65.4
87.8,30.0,32.75,62.21
87.9,30.0,35.48,62.48
88.0,30.0,34.68,64.86
88.1,30.0,33.94,67.14
88.2,30.0,35.05,63.35
88.3,30.0,36.78,65.9
88.4,30.0,34.66,67.07
88.5,30.0,34.76,68.06
88.6,30.0,34.05,67.48
88.7,30.0,33.69,66.83
88.8,30.0,35.46,66.34
88.9,30.0,33.74,68.67
89.0,30.0,34.74,66.73
89.1,30.0,34.2,63.34
89.2,30.0,35.23,70.81
89.3,30.0,35.12,72.27
89.4,30.0,35.88,65.82
89.5,30.0,34.3,69.16
89.6,30.0,34.59,73.13
89.7,30.0,33.88,76.75
89.8,30.0,34.46,72.83
89.9,30.0,35.37,71.67
90.0,30.0,35.79,73.37
90.1,30.0,33.98,77.33
90.2,30.0,35.81,73.32
90.3,30.0,36.27,73.46
90.4,30.0,35.23,74.64
90.5,30.0,36.71,74.04
90.6,30.0,33.89,76.98
90.7,30.0,33.36,80.93
90.8,30.0,32.75,78.38
90.9,30.0,36.1,77.5
91.0,30.0,35.18,77.86
91.1,30.0,34.39,75.3
91.2,30.0,34.69,81.54
91.3,30.0,33.19,79.69
91.4,30.0,36.82,79.89
91.5,30.0,34.38,88.49
91.6,30.0,34.31,81.9
91.7,30.0,34.89,79.75
91.8,30.0,34.59,80.96
91.9,30.0,34.28,85.26
92.0,30.0,33.19,83.1
92.1,30.0,34.43,79.63
92.2,30.0,35.81,85.93
92.3,30.0,35.22,82.33
92.4,30.0,35.42,89.13
92.5,30.0,33.23,87.52
92.6,30.0,32.7,84.01
92.7,30.0,33.52,88.81
92.8,30.0,33.66,86.05
92.9,30.0,34.65,88.45
93.0,30.0,31.8,87.86
93.1,30.0,34.98,84.74
93.2,30.0,33.24,85.6
93.3,30.0,32.92,90.34
93.4,30.0,32.29,87.09
93.5,30.0,31.6,87.23
93.6,30.0,34.02,86.08
93.7,30.0,33.22,90.07
93.8,30.0,31.82,94.78
93.9,30.0,31.77,86.7
94.0,30.0,32.67,89.94
94.1,30.0,34.6,93.99
94.2,30.0,32.64,90.25
94.3,30.0,31.37,91.99
94.4,30.0,32.56,88.14
94.5,30.0,32.48,92.49
94.6,30.0,30.05,91.09
94.7,30.0,32.6,94.59
94.8,30.0,32.37,95.41
94.9,30.0,33.23,99.57
95.0,30.0,34.3,94.26
95.1,30.0,33.55,93.81
95.2,30.0,32.14,93.68
95.3,30.0,31.28,92.39
95.4,30.0,34.79,94.57
95.5,30.0,32.31,93.02
95.6,30.0,32.21,94.55
95.7,30.0,32.13,98.02
95.8,30.0,32.29,91.66
95.9,30.0,31.91,97.96
96.0,30.0,31.45,98.67
96.1,30.0,31.43,94.78
96.2,30.0,31.87,89.25
96.3,30.0,31.33,93.77
96.4,30.0,31.12,99.41
96.5,30.0,31.85,95.8
96.6,30.0,31.46,93.17
96.7,30.0,33.08,94.76
96.8,30.0,29.09,98.81
96.9,30.0,32.58,98.12
97.0,30.0,32.68,96.01
97.1,30.0,29.49,95.78
97.2,30.0,31.08,95.85
97.3,30.0,31.0,94.44
97.4,30.0,29.98,101.98
97.5,30.0,30.52,96.46
97.6,30.0,30.16,101.08
97.7,30.0,32.79,102.1
97.8,30.0,31.97,100.69
97.9,30.0,32.23,96.6
98.0,30.0,31.67,99.16
98.1,30.0,29.9,98.0
98.2,30.0,30.41,95.51
98.3,30.0,31.3,99.22
98.4,30.0,29.67,94.86
